대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2016,1,14,7,0,11,0,-5,-3
경기도연성,1490,2016,1,14,8,0,0,0,-3,-2
경기도연성,1490,2016,1,14,9,18,95,0,1,0
경기도연성,1490,2016,1,14,10,46,227,40,4,2
경기도연성,1490,2016,1,14,11,428,275,131,6,3
경기도연성,1490,2016,1,14,12,965,141,91,22,7
경기도연성,1490,2016,1,14,13,1028,261,172,23,8
경기도연성,1490,2016,1,14,14,892,230,170,22,10
경기도연성,1490,2016,1,14,15,394,86,88,14,7
경기도연성,1490,2016,1,14,16,278,79,50,10,6
경기도연성,1490,2016,1,14,17,18,14,0,4,4
경기도연성,1490,2016,1,14,18,0,0,0,2,3
경기도연성,1490,2016,1,14,19,0,0,0,2,3
경기도연성,1490,2016,1,14,20,0,16,0,3,3
경기도연성,1490,2016,1,14,21,0,14,0,2,2
경기도연성,1490,2016,1,14,22,0,0,0,2,3
경기도연성,1490,2016,1,14,23,0,16,0,3,3
경기도연성,1490,2016,1,15,0,0,0,0,3,3
경기도연성,1490,2016,1,15,1,0,40,0,2,3
경기도연성,1490,2016,1,15,2,0,0,0,3,3
경기도연성,1490,2016,1,15,3,0,16,0,3,3
경기도연성,1490,2016,1,15,4,0,0,0,3,3
경기도연성,1490,2016,1,15,5,0,0,0,2,3
경기도연성,1490,2016,1,15,6,0,0,0,2,3
경기도연성,1490,2016,1,15,7,0,0,0,0,2
경기도연성,1490,2016,1,15,8,0,11,0,0,1
경기도연성,1490,2016,1,15,9,75,19,16,4,3
경기도연성,1490,2016,1,15,10,302,285,115,13,6
경기도연성,1490,2016,1,15,11,908,256,143,16,7
경기도연성,1490,2016,1,15,12,1050,354,153,22,9
경기도연성,1490,2016,1,15,13,974,318,177,25,12
경기도연성,1490,2016,1,15,14,807,244,158,23,12
경기도연성,1490,2016,1,15,15,532,163,105,19,10
경기도연성,1490,2016,1,15,16,229,115,38,12,9
경기도연성,1490,2016,1,15,17,36,19,0,5,6
경기도연성,1490,2016,1,15,18,0,0,0,1,4
경기도연성,1490,2016,1,15,19,0,0,0,0,3
경기도연성,1490,2016,1,15,20,0,31,0,1,3
경기도연성,1490,2016,1,15,21,0,0,0,1,3
경기도연성,1490,2016,1,15,22,0,0,0,2,3
경기도연성,1490,2016,1,15,23,0,0,0,1,2
경기도연성,1490,2016,1,16,0,0,0,0,1,2
